review,cleaned_review,cleaned_review_stemmed,nama desa wisata,provinsi
"Terlalu mahal tiket masuknya, 20rb/org di weekend,
biasa aja buat foto².
Dengan harga tiket masuk segitu TDK sebanding dgn wahananya yg biasa aja.
Daripada kepuhunan jar...
Kalau tiket hari biasa 5rb, dan weekend 10rb masih ok lah.",mahal tiket masuknya ribu weekend foto harga tiket segitu sebanding wahananya kepuhunan jar tiket ribu weekend ribu ok,mahal tiket masuk ribu weekend foto harga tiket segitu banding wahana kepuhunan jar tiket ribu weekend ribu ok,Kampung Ketupat,Kalimantan Selatan
Alhmadulillah ksampaian.. jauh² mulai sampit,alhmadulillah ksampaian sampit,alhmadulillah ksampaian sampit,Kampung Ketupat,Kalimantan Selatan
"Bagus, konsepnya keren serba bambu, agak mahal ya kalo weeken k sini sama keluarga, lumayan tiket masuk 1 org 20k, blm jajannya lo, tapi kebersihannya kereen semoga tetep selalu bersih",bagus konsepnya keren serba bambu mahal kalo weeken kak keluarga lumayan tiket kak jajannya lo kebersihannya keren semoga bersih,bagus konsep keren serba bambu mahal kalo weeken kak keluarga lumayan tiket kak jajan lo bersih keren moga bersih,Kampung Ketupat,Kalimantan Selatan
Teduh.. Syahdu.. Merindu..,teduh syahdu merindu,teduh syahdu rindu,Kampung Ketupat,Kalimantan Selatan
Menikmati kuliner sambil denger suara burung yg indah di bawah teduhnya pohon Kampung Ketupat,menikmati kuliner dengar suara burung indah teduhnya pohon kampung ketupat,nikmat kuliner dengar suara burung indah teduh pohon kampung ketupat,Kampung Ketupat,Kalimantan Selatan
"Wisata untuk ikon kampung ketupat cukup bagus,  bersih dengan harga tiket 20rb perorang (Senin Sampai Jumat) 25rb(Sabtu-Minggu) + free minuman, untuk parkir sdh E-Parkir dgn tarif Motor 3rb dan mobil 5rb ,tapi wisata ini menurut saya terlalu mahal untuk tempat wisata yg cuma untuk tempat ""foto2"" dan untuk nongkrong terkesan belum siap untuk menjadi tempat wisata Ikon Kampung Ketupat. Semoga kedepannya harga tiket masuk di revisi atau fasilitas direvisi kembali",wisata ikon kampung ketupat bagus bersih harga tiket ribu perorang senin jumat ribu sabtu minggu free minuman parkir parkir tarif motor ribu mobil ribu wisata mahal wisata foto nongkrong terkesan wisata ikon kampung ketupat semoga kedepannya harga tiket revisi fasilitas direvisi,wisata ikon kampung ketupat bagus bersih harga tiket ribu orang senin jumat ribu sabtu minggu free minum parkir parkir tarif motor ribu mobil ribu wisata mahal wisata foto nongkrong kes wisata ikon kampung ketupat moga depan harga tiket revisi fasilitas revisi,Kampung Ketupat,Kalimantan Selatan
"Kampung katupat ,siring banjarmasin",kampung katupat siring banjarmasin,kampung katupat siring banjarmasin,Kampung Ketupat,Kalimantan Selatan
"Masuk ke wisata ini tempat parkirnya lumayan luas, untuk tiket masuk bayar di loket ( bayar parkir juga termasuk jd nanti di parkiran tidak perlu bayar lg)
Kampung ketupat ini di dominasi bangunan yg terbuat dari bambu/ paring, lokasinya jg tidak jauh dari siring
Disini ada tersedia stand2 untuk memesan makanan, dri tiket yg kita dapat bisa ditukarkan dengan sebotol air mineral
Tp sepertinya tempat untuk kita duduk yg agak kurang, krn areanya luas jd kadang capek jg berkeliling, banyak spot untuk berfoto juga
Anda sebaiknya menyiapkan uang pas untuk bayar makanan di stannya, atau gak bahar pakai Qris lewat DANA atau brimo kalo gak mau susah
Wc nya juga tersedia, dengan dipisah yg cwo atau cwe",wisata parkirnya lumayan luas tiket bayar loket bayar parkir parkiran bayar kampung ketupat dominasi bangunan terbuat bambu paring lokasinya siring tersedia stand memesan makanan tiket ditukarkan sebotol air mineral duduk areanya luas kadang capek berkeliling spot berfoto uang pas bayar makanan stannya bahar pakai qris dana brimo kalo susah wc tersedia dipisah cowok cewek,wisata parkir lumayan luas tiket bayar loket bayar parkir parkir bayar kampung ketupat dominasi bangun buat bambu paring lokasi siring sedia stand mes makan tiket tukar botol air mineral duduk area luas kadang capek keliling spot foto uang pas bayar makan stan bahar pakai qris dana brimo kalo susah wc sedia pisah cowok cewek,Kampung Ketupat,Kalimantan Selatan
Lokasinya baik..cocok buat sore nyantai bersama orang terkasih dan keluarga..,lokasinya cocok sore nyantai terkasih keluarga,lokasi cocok sore nyantai kasih keluarga,Kampung Ketupat,Kalimantan Selatan
enak buat santai dan foto²,santai foto,santai foto,Kampung Ketupat,Kalimantan Selatan
