review,review_text,rating,author,date,nama desa wisata
tempat outbound yang oke terutama susur sungai yg mantap benar2 melatih keberanian tanggung jawab kebersamaan peduli sesama pas musim salak juuoss lokasi suejuk nyaman warga yg mendukung,"tempat outbound yang oke.. terutama susur sungai yg mantap, benar2 melatih keberanian, tanggung jawab, kebersamaan, peduli sesama, pas musim salak.. juuoss.. lokasi suejuk, nyaman. warga yg mendukung..",4,Ari Setyawan,2023-12-19T13:25:35.029Z,Pulesari
tempat nya bagus kamar mandi bersih disediakan beberapa pendopo untuk menampung beberapa kelompok wisatawan fasilitas lengkap permainannya banyak dan sangat asik tapi pemandu sangat kurang baik dalam menjalankan tugas pemandu tidak komunikatif tidak dijelaskan apa yg harus dilakukan untuk safety permainan tidak dijelaskan apa yg tidak boleh dilakukan tidak dijelaskan bagaimana step by step cara melewati tracking sungai yg ada beberapa rintangan pemandu juga tidak membawa perlengkapan apapun saat mendampingi tracking sungai tidak membawa beberapa perlengkapan yang mungkin di butuhkan wisatawan saat ada hal yg tidak diinginkan terjadi sayang sekali tempat sebagus ini pemandunya kurang baik dalam menjalankan tugas sepertinya butuh diberi training agar dapat meningkatkan kualitas dan memberikan pelayanan yg lebih baik untuk pengunjung,"Tempat nya bagus, kamar mandi bersih, disediakan beberapa pendopo untuk menampung beberapa kelompok wisatawan, fasilitas lengkap, permainannya banyak dan sangat asik.
Tapi, pemandu sangat kurang baik dalam menjalankan tugas 🙂
Pemandu tidak komunikatif, tidak dijelaskan apa yg harus dilakukan untuk safety permainan, tidak dijelaskan apa yg tidak boleh dilakukan, tidak dijelaskan bagaimana step by step cara melewati tracking sungai yg ada beberapa rintangan. Pemandu juga tidak membawa perlengkapan apapun saat mendampingi tracking sungai, tidak membawa beberapa perlengkapan yang mungkin di butuhkan wisatawan saat ada hal yg tidak diinginkan terjadi.
Sayang sekali tempat sebagus ini pemandunya kurang baik dalam menjalankan tugas. Sepertinya butuh diberi training agar dapat meningkatkan kualitas dan memberikan pelayanan yg lebih baik untuk pengunjung🙂",2,Wahyu Anafiah,2023-12-10T10:56:47.409Z,Pulesari
dapet toiletnya gak nyaman karena banjir dan kotor overall okelah harga murah juga,Dapet toiletnya gak nyaman karena banjir dan kotor. Overall okelah harga murah juga.,3,Fauziah Nurhasanah,2023-12-06T04:38:12.784Z,Pulesari
banyak spot dan pendopo yang bisa di booking untuk acara gathering makrab dll ada wisata petik salak outbound susur sungai dll paket lengkap,"Banyak spot dan pendopo yang bisa di booking untuk acara gathering, makrab dll..
Ada wisata petik salak
Outbound, susur sungai dll
Paket lengkap",4,endah rena,2023-12-03T06:50:54.147Z,Pulesari
tempat nya bagus spot nya luas ada out bond dan banyak pendopo,Tempat nya bagus spot nya luas ada out bond dan banyak pendopo,5,Putra Ageng,2023-12-03T05:47:43.962Z,Pulesari
tempatnya sejuk nyaman cocok buat kegiatan d luar rumah outbond atw yg ingin menikmati alam pedesaan org2 eo nya juga ramah2 kocak2 makanannya mungkin requat ya kmren itu enak sayur lodeh ayam goreng peyek teri rebin mantap,"Tempatnya sejuk, nyaman, cocok buat kegiatan d luar rumah/outbond atw yg ingin menikmati alam pedesaan.org2 eo nya juga ramah2 kocak2..makanannya mungkin requat ya.. Kmren itu enak, sayur lodeh, ayam goreng, peyek teri/rebin..mantap.",5,Neneng Eha,2023-11-25T03:08:31.071Z,Pulesari
bisa booking lewat wa dan bayar dp bisa transfer tempatnya luas ada beberapa pendopo tidak hanya untuk outbound saja juga bisa untuk menginap,"Bisa booking lewat WA dan bayar DP bisa transfer. Tempatnya luas ada beberapa pendopo, tidak hanya untuk outbound saja juga bisa untuk menginap.",5,Khasna Nurlita,2023-11-19T11:31:56.114Z,Pulesari
tempat outbound yang cukup bagus parkir luas thx u,"Tempat outbound yang cukup bagus,parkir luas thx u",5,Dwi Rubiyanto,2023-11-12T13:27:37.804Z,Pulesari
bagus banget tempatnya masyarakatnya juga sangat ramah pengelola tempat wisata juga sangat bertanggung jawab kalau misalnya ada yang sakit di bantuin kegiatan mahasiswa,"Bagus banget tempatnya,  masyarakatnya juga sangat ramah. Pengelola tempat wisata juga sangat bertanggung jawab kalau misalnya ada yang sakit di bantuin (kegiatan mahasiswa)",5,Resmi Timumun,2023-11-06T13:24:43.945Z,Pulesari
lokasi mudah ditemukan meski jalannya berliku pelayanan ramah menu makanan cukuplah untuk standart kocek paket yg kami keluarkan,"Lokasi mudah ditemukan, meski jalannya berliku. Pelayanan ramah. Menu makanan cukuplah untuk standart kocek paket yg kami keluarkan.",4,Anisah Srahmah,2023-11-04T10:03:08.234Z,Pulesari
