review,cleaned_review,cleaned_review_stemmed,nama desa wisata,provinsi
Biaya masuk mahal sekali sehingga pengunjung putar balik Ter Lapau maha,biaya mahal pengunjung putar ter lapau maha,biaya mahal unjung putar ter lapau maha,Pulau Kumayan Kota,Bengkulu
Bagus sekali,bagus,bagus,Pulau Kumayan Kota,Bengkulu
"Tempat wisata Alam baru kota bengkulu
Wisata hutan mangrove",wisata alam kota bengkulu wisata hutan mangrove,wisata alam kota bengkulu wisata hutan mangrove,Pulau Kumayan Kota,Bengkulu
Lumayan asri tempatnya dan tak jauh dari gubuk tempat tinggalku,lumayan asri tempatnya gubuk tinggalku,lumayan asri tempat gubuk tinggal,Pulau Kumayan Kota,Bengkulu
Bagus tapi sekarang mahal masa anak kecil sama dengan orang tua harga masuk nya.,bagus mahal anak tua harga,bagus mahal anak tua harga,Pulau Kumayan Kota,Bengkulu
Its beautifully,its beautifully,its beautifully,Pulau Kumayan Kota,Bengkulu
Tempat wisata alam terbuka,wisata alam terbuka,wisata alam buka,Pulau Kumayan Kota,Bengkulu
"Tempat wisata taman bakau yg berada di ujung kota Bengkulu, lokasinya rindang banyak pohon dan sangat asri .. Masih dalam tahap pembangunan banyak spot untuk foto bersama pacar ataupun keluarga..",wisata taman bakau ujung kota bengkulu lokasinya rindang pohon asri tahap pembangunan spot foto pacar keluarga,wisata taman bakau ujung kota bengkulu lokasi rindang pohon asri tahap bangun spot foto pacar keluarga,Pulau Kumayan Kota,Bengkulu
"Bagus tempatnya, cocok untuk rekreasi keluarga",bagus tempatnya cocok rekreasi keluarga,bagus tempat cocok rekreasi keluarga,Pulau Kumayan Kota,Bengkulu
"baik, tapi terlalu banyak pungutan biaya, parkir oke Rp. 2000,perorang 5000 kemahalan",pungutan biaya parkir oke rp perorang kemahalan,pungut biaya parkir oke rp orang mahal,Pulau Kumayan Kota,Bengkulu
